1.800958975275228705e-02,1.897782047454224519e-02,1.859506128806936998e-02,1.848014218961716026e-02
1.879362152157873500e-02,2.084610473131236208e-02,2.396922388643155100e-02,2.095923231953466040e-02
2.500567490423590347e-02,2.662368562754328927e-02,3.344277124614865315e-02,2.675276548489956968e-02
3.214236357314657899e-02,3.365079152188928807e-02,4.265015398582665263e-02,3.702377191094950032e-02
4.067351466205058885e-02,4.282258526477590588e-02,4.926380128511638479e-02,4.642255033217501659e-02
5.458093437947650339e-02,5.768309365097611108e-02,6.351514583384730572e-02,5.478984650966319675e-02
6.882272938802630469e-02,7.017858761490970709e-02,7.845893208576590339e-02,6.911486722111208347e-02
7.839393347197304296e-02,7.531887709144721721e-02,7.729103574638888918e-02,7.031825105647762642e-02
1.642271424237708513e-02,1.752146631726975157e-02,1.742019929025305849e-02,1.889331534048161593e-02
1.849664182772427570e-02,1.999371299846002328e-02,1.897151876048825195e-02,2.219294120209206606e-02
1.950730784415880339e-02,1.867487992213587647e-02,2.932959919927382447e-02,2.572462311053747008e-02
2.600160337042886280e-02,2.722383538351432972e-02,3.294275807739169282e-02,3.767335685954827790e-02
4.037680628012842859e-02,4.395458169760701334e-02,5.101362191191324141e-02,4.683188253710994509e-02
5.102171002564313829e-02,5.817862752888071365e-02,6.925181888777730277e-02,5.892517918484677791e-02
7.349196687247419590e-02,7.864281056127302161e-02,8.841986358000504531e-02,7.047549926063251258e-02
8.545912427359647623e-02,1.087227113435793036e-01,8.651627762401324639e-02,8.135760772434111332e-02
1.402523321650397253e-02,1.323191446828798912e-02,1.448259581227572847e-02,1.660499077557621092e-02
1.405633532142160601e-02,1.163886293807508965e-02,1.513183182335325720e-02,1.699393758941516314e-02
1.754300135269809893e-02,6.223466760210389845e-03,9.187505206691527065e-03,1.050015932331211342e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.454157140792960295e-02,3.004914621737843350e-02,4.758459099862377695e-02,2.980361562524570102e-02
2.888787726149235138e-02,5.074446517868556883e-02,2.975180856329724677e-02,7.243710638782399625e-02
7.996461243144818709e-02,8.709935539888462308e-02,1.134885482246497795e-01,9.989971657055946030e-02
